produto_descricao;produto_quantidade;produto_unidade_comercial;produto_valor_unitario_comercializacao;nota_data_emissao
B0;420;UN;32,02;20210811
B0;540;UN;29,09;20210228
B0;540;UN;29,09;20210317
B0;1620;UN;29,09;20210309
B1;45;UN;8,96;20210521
B1;45;UN;8,96;20210626
B1;45;UN;8,96;20210728
B1;90;UN;8,14;20210317
B4;675;UN;4,96;20210827
B2;24;UN;10,37;20210309
B2;24;UN;11,42;20210508
B2;48;UN;11,42;20210626
B2;48;UN;11,42;20210818
B2;72;UN;11,42;20210610
B2;72;UN;11,42;20210616
B2;96;UN;11,42;20210707
B2;144;UN;11,42;20210421
B2;216;UN;11,42;20210811
B2;240;UN;11,42;20210714
B3;24;UN;22,81;20210508
B3;24;UN;22,81;20210521
B3;48;UN;22,81;20210805
B3;48;UN;22,81;20210811
B3;72;UN;20,72;20210309
B3;72;UN;22,81;20210421
B3;120;UN;22,81;20210610
B3;120;UN;22,81;20210616
B0;300;UN;3,65;20210330
B0;360;UN;3,25;20210827
B0;420;UN;3,65;20210330
B0;420;UN;3,65;20210330
B0;1140;UN;3,65;20210330
B0;120;UN;29,5;20210327
B0;300;UN;29,5;20210228
B0;300;UN;32,47;20210531
B0;300;UN;32,47;20210721
B0;420;UN;32,47;20210929
B0;480;UN;32,47;20210820
B2;24;UN;11,58;20210708
B0;60;UN;32,02;20210708
A8;90;UN;7,7;20210316
A8;135;UN;8,48;20210410
A8;450;UN;8,48;20210512
A8;450;UN;8,48;20210708
B0;60;UN;32,02;20210609
B1;180;UN;8,14;20210316
B1;180;UN;8,96;20210609
A8;45;UN;8,6;20210717
B0;600;UN;32,02;20210709
B0;1920;UN;32,02;20210518
B0;2400;UN;32,02;20210616
B0;6000;UN;32,02;20210809
B2;24;UN;11,58;20210609
A8;135;UN;8,48;20210611
A8;225;UN;8,48;20210812
A8;675;UN;8,48;20210722
A8;720;UN;8,48;20210624
A8;1350;UN;8,48;20210716
A9;10;UN;145,58;20210928
B0;180;UN;32,02;20210716
B0;180;UN;32,02;20210717
B0;240;UN;29,09;20210228
B0;780;UN;32,02;20210611
B0;1320;UN;32,02;20210812
B0;1320;UN;32,02;20210731
B0;3240;UN;32,02;20210722
B0;3420;UN;29,09;20210309
B1;135;UN;8,96;20210424
B1;270;UN;8,96;20210831
B1;360;UN;8,96;20210722
B1;495;UN;8,96;20210624
B1;765;UN;8,96;20210731
B4;45;UN;4,96;20210826
B4;45;UN;4,96;20210424
B4;45;UN;4,96;20210503
B4;45;UN;4,96;20210611
B4;45;UN;4,96;20210624
B4;90;UN;4,96;20210928
B2;96;UN;11,42;20210722
B2;720;UN;11,42;20210812
B3;480;UN;22,81;20210611
B3;528;UN;20,72;20210309
B3;888;UN;22,81;20210722
B3;1200;UN;22,81;20210716
A9;10;UN;145,58;20210722
B1;90;UN;8,14;20210313
B1;135;UN;8,96;20210831
B1;135;UN;8,96;20210921
B1;180;UN;8,96;20210722
B2;144;UN;11,42;20210818
B2;264;UN;11,42;20210921
B2;384;UN;10,37;20210313
B3;168;UN;22,81;20210722
B3;168;UN;22,81;20210818
B3;240;UN;20,72;20210226
B5;102;KG;100,9677;20210212
B5;150;KG;82,7957;20210312
B6;514;MI;76,7742;20210219
B6;515;MI;76,7742;20210219
B6;525;MI;76,7742;20210225
B6;528;MI;76,7742;20210405
B6;529;MI;76,7742;20210405
B6;519;MI;76,7742;20210225
B6;520;MI;76,7742;20210225
B6;525;MI;76,7742;20210225
B6;526;MI;76,7742;20210401
B6;527;MI;76,7742;20210401
A8;20;UN;1,26;20210407
A9;140;UN;27,11;20210902
A9;1;UN;34,88;20210608
A9;2;UN;34,88;20210806
A9;5;UN;34,88;20210405
B0;3;UN;0,88;20210407
B0;6;UN;0,88;20210308
B1;1;UN;1,86;20210308
B0;1;UN;0,62;20210713
B0;1;UN;1,45;20210407
B0;2;UN;0,62;20210602
B0;2;UN;0,62;20210713
B0;2;UN;0,8;20210806
B0;3;UN;0,62;20210604
B0;3;UN;0,62;20210713
B0;3;UN;1,13;20210316
B0;3;UN;1,45;20210407
B0;7;UN;0,62;20210607
B0;15;UN;0,62;20210608
B0;20;UN;0,62;20210802
B0;31;UN;1,13;20210305
B0;71;UN;0,62;20210504
B0;600;UN;0,8;20210804
B1;1;UN;2,34;20210407
B1;1;UN;2,34;20210607
B1;5;UN;2,34;20210316
B1;135;UN;2,34;20210407
B1;135;UN;2,61;20210902
B4;1;UN;1,74;20210407
B4;1;UN;1,74;20210407
B4;1;UN;1,74;20210607
B4;135;UN;1,84;20210902
B2;1;UN;2,78;20210407
B2;1;UN;2,78;20210607
B2;1;UN;2,78;20210607
B2;1;UN;2,78;20210608
B2;1;UN;2,78;20210804
B2;47;UN;2,78;20210804
B2;48;UN;2,78;20210602
B2;72;UN;2,78;20210915
B2;144;UN;2,78;20210915
B2;984;UN;2,78;20210902
B2;1296;UN;2,78;20210915
B3;1;UN;3,36;20210316
B3;1;UN;3,51;20210608
B3;1;UN;3,51;20210713
B3;1;UN;3,51;20210804
B3;11;UN;3,51;20210806
B3;21;UN;3,36;20210407
B3;24;UN;2,93;20210902
B3;24;UN;2,93;20210915
B3;24;UN;3,51;20210602
B3;48;UN;2,93;20210902
B3;48;UN;3,51;20210602
B3;216;UN;2,93;20210902
B3;623;UN;3,51;20210804
B3;24;UN;3,29;20210511
A8;30;UN;1,92;20210422
B0;30;UN;5,31;20210602
B1;45;UN;2,61;20210602
B2;20;UN;2,49;20210227
B3;14;UN;4,4;20210602
B7;1347;MI;55,939;20210721
B7;1352;MI;51,3537;20210210
B7;1355;MI;51,3537;20210210
B7;1360;MI;51,3537;20210326
B7;1364;MI;51,3537;20210326
B7;1370;MI;55,939;20210721
A8;135;UN;8,48;20210629
A8;135;UN;8,48;20210623
B0;300;UN;29,09;20210228
B0;300;UN;32,02;20210503
B0;720;UN;32,02;20210503
B2;120;UN;11,42;20210629
B2;120;UN;11,42;20210623
B3;24;UN;22,81;20210529
B3;24;UN;22,81;20210529
B3;30;UN;20,72;20210217
B3;66;UN;20,72;20210214
B3;96;UN;22,81;20210503
B3;216;UN;22,81;20210503
B2;24;UN;11,42;20210715
A8;45;UN;7,7;20210212
A8;45;UN;7,7;20210218
A8;45;UN;7,7;20210226
A8;45;UN;7,7;20210306
A8;45;UN;7,7;20210319
A8;45;UN;8,48;20210709
A8;45;UN;8,48;20210716
A8;45;UN;8,48;20210609
A8;45;UN;8,48;20210618
A8;45;UN;8,48;20210805
A8;45;UN;8,48;20210805
A8;45;UN;8,48;20210812
A8;45;UN;8,48;20210827
A8;45;UN;8,48;20210924
A8;45;UN;8,48;20210925
A8;45;UN;8,48;20210925
A8;90;UN;7,7;20210328
A8;135;UN;8,48;20210626
A8;135;UN;8,48;20210722
A8;135;UN;8,48;20210727
A8;135;UN;8,48;20210910
A8;135;UN;8,48;20210921
A8;135;UN;8,48;20210921
A8;180;UN;8,48;20210722
A8;180;UN;8,48;20210716
A8;270;UN;8,48;20210626
A9;5;UN;145,58;20210910
B0;60;UN;29,09;20210327
B0;60;UN;29,09;20210328
B0;60;UN;29,09;20210228
B0;60;UN;29,09;20210228
B0;60;UN;29,09;20210228
B0;60;UN;29,09;20210228
B0;60;UN;29,09;20210228
B0;60;UN;29,09;20210228
B0;60;UN;29,09;20210228
B0;60;UN;29,09;20210328
B0;60;UN;32,02;20210506
B0;60;UN;32,02;20210503
B0;60;UN;32,02;20210716
B0;60;UN;32,02;20210830
B0;60;UN;32,02;20210923
B0;120;UN;29,09;20210306
B0;120;UN;29,09;20210306
B0;120;UN;29,09;20210301
B0;120;UN;29,09;20210320
B0;120;UN;29,09;20210328
B0;120;UN;32,02;20210425
B0;120;UN;32,02;20210916
B0;120;UN;32,02;20210925
B0;180;UN;32,02;20210830
B0;240;UN;32,02;20210522
B0;240;UN;32,02;20210522
B0;240;UN;32,02;20210609
B0;240;UN;32,02;20210425
B0;300;UN;32,02;20210529
B0;300;UN;32,02;20210529
B0;300;UN;32,02;20210727
B0;300;UN;32,02;20210805
B0;300;UN;32,02;20210830
B0;360;UN;32,02;20210722
B0;420;UN;32,02;20210516
B0;480;UN;32,02;20210722
B0;480;UN;32,02;20210916
B0;540;UN;32,02;20210805
B0;720;UN;32,02;20210626
B0;780;UN;32,02;20210727
B0;1380;UN;32,02;20210910
B0;1560;UN;32,02;20210626
B0;1620;UN;32,02;20210618
B1;45;UN;8,14;20210217
B1;45;UN;8,14;20210306
B1;45;UN;8,96;20210618
B1;45;UN;8,96;20210626
B1;45;UN;8,96;20210716
B1;45;UN;8,96;20210731
B1;45;UN;8,96;20210716
B1;45;UN;8,96;20210722
B1;45;UN;8,96;20210731
B1;45;UN;8,96;20210805
B1;45;UN;8,96;20210805
B1;45;UN;8,96;20210831
B1;45;UN;8,96;20210916
B1;45;UN;8,96;20210916
B1;45;UN;8,96;20210923
B1;45;UN;8,96;20210925
B1;90;UN;8,96;20210711
B1;90;UN;8,96;20210910
B4;12;UN;4,96;20210421
B4;24;UN;4,96;20210506
B4;45;UN;4,5;20210226
B4;45;UN;4,96;20210516
B2;24;UN;10,37;20210226
B2;24;UN;10,37;20210305
B2;24;UN;10,37;20210306
B2;24;UN;10,37;20210310
B2;24;UN;10,37;20210328
B2;24;UN;11,42;20210503
B2;24;UN;11,42;20210626
B2;24;UN;11,42;20210916
B2;48;UN;10,37;20210321
B2;48;UN;11,42;20210522
B2;48;UN;11,42;20210529
B2;48;UN;11,42;20210529
B2;48;UN;11,42;20210727
B2;72;UN;11,42;20210516
B2;96;UN;11,42;20210618
B2;240;UN;11,42;20210722
B2;240;UN;11,42;20210910
B3;24;UN;20,72;20210306
B3;24;UN;20,72;20210318
B3;24;UN;20,72;20210218
B3;24;UN;20,72;20210226
B3;24;UN;20,72;20210310
B3;24;UN;20,72;20210313
B3;24;UN;20,72;20210321
B3;24;UN;22,81;20210522
B3;24;UN;22,81;20210609
B3;24;UN;22,81;20210709
B3;24;UN;22,81;20210716
B3;24;UN;22,81;20210731
B3;24;UN;22,81;20210421
B3;24;UN;22,81;20210503
B3;24;UN;22,81;20210722
B3;24;UN;22,81;20210805
B3;24;UN;22,81;20210925
B3;48;UN;20,72;20210306
B3;48;UN;20,72;20210217
B3;48;UN;20,72;20210227
B3;48;UN;20,72;20210328
B3;48;UN;20,72;20210328
B3;48;UN;22,81;20210630
B3;72;UN;22,81;20210709
B3;72;UN;22,81;20210910
B3;96;UN;22,81;20210722
A8;45;UN;8,48;20210924
A9;5;UN;145,58;20210923
B0;60;UN;32,02;20210923
B1;45;UN;8,96;20210923
B4;45;UN;4,96;20210923
B2;24;UN;11,42;20210923
B3;24;UN;22,81;20210923
B2;6000;UN;11,42;20210727
B3;120;UN;22,81;20210812
B3;120;UN;22,81;20210831
B3;288;UN;20,72;20210310
B0;60;UN;29,09;20210305
B2;96;UN;11,42;20210504
A8;45;UN;7,7;20210225
A9;5;UN;132,25;20210225
B0;60;UN;32,02;20210726
B0;60;UN;32,02;20210919
B1;45;UN;8,14;20210225
B4;45;UN;4,5;20210225
B2;24;UN;10,37;20210225
B2;48;UN;11,42;20210919
B3;24;UN;20,72;20210225
B3;24;UN;22,81;20210726
B3;24;UN;22,81;20210919
A8;90;UN;8,48;20210829
A8;135;UN;8,48;20210622
B0;480;UN;32,02;20210426
B0;600;UN;32,02;20210511
B0;1800;UN;29,09;20210313
B4;45;UN;4,5;20210313
B4;180;UN;4,96;20210416
A8;45;UN;7,2;20210226
A8;90;UN;7,2;20210213
A8;90;UN;7,2;20210308
A8;90;UN;7,2;20210313
A8;90;UN;7,93;20210618
A8;90;UN;7,93;20210926
A8;135;UN;7,2;20210328
A8;135;UN;7,93;20210731
A8;135;UN;7,93;20210829
A8;135;UN;7,93;20210911
A8;180;UN;7,2;20210217
A8;180;UN;7,93;20210507
A8;180;UN;7,93;20210805
A8;180;UN;7,93;20210921
A8;225;UN;7,2;20210218
A8;225;UN;7,2;20210227
A8;225;UN;7,2;20210306
A8;225;UN;7,2;20210319
A8;315;UN;7,2;20210321
A8;360;UN;7,93;20210831
A8;405;UN;7,2;20210328
A8;405;UN;7,93;20210722
A8;450;UN;7,93;20210727
A8;495;UN;7,93;20210514
A8;540;UN;7,93;20210731
A8;585;UN;7,2;20210328
A8;630;UN;7,93;20210925
A8;810;UN;7,93;20210716
A8;1260;UN;7,93;20210626
A9;5;UN;136,14;20210911
B0;60;UN;27,2;20210328
B0;60;UN;29,94;20210503
B0;62;UN;29,94;20210412
B0;240;UN;29,94;20210425
B0;360;UN;29,94;20210618
B0;420;UN;27,2;20210320
B0;480;UN;29,94;20210611
B0;538;UN;29,94;20210425
B0;660;UN;29,94;20210514
B0;900;UN;27,2;20210328
B0;900;UN;29,94;20210722
B0;900;UN;29,94;20210916
B0;960;UN;29,94;20210709
B0;960;UN;29,94;20210427
B0;1560;UN;27,2;20210228
B0;1620;UN;29,94;20210805
B0;1740;UN;27,2;20210308
B0;1980;UN;27,2;20210301
B0;2220;UN;27,2;20210228
B0;2220;UN;29,94;20210812
B0;2400;UN;27,2;20210301
B0;2940;UN;29,94;20210425
B0;5640;UN;29,94;20210626
B1;45;UN;7,62;20210328
B1;45;UN;8,38;20210529
B1;45;UN;8,38;20210614
B1;45;UN;8,38;20210618
B1;45;UN;8,38;20210831
B1;45;UN;8,38;20210916
B1;90;UN;8,38;20210711
B1;90;UN;8,38;20210716
B1;90;UN;8,38;20210626
B1;90;UN;8,38;20210831
B1;90;UN;8,38;20210923
B1;90;UN;8,38;20210925
B1;135;UN;8,38;20210805
B4;45;UN;4,21;20210306
B4;45;UN;4,21;20210328
B4;45;UN;4,63;20210618
B4;180;UN;4,63;20210626
B2;24;UN;10,68;20210507
B2;24;UN;10,68;20210529
B2;24;UN;10,68;20210529
B2;48;UN;9,7;20210217
B2;48;UN;9,7;20210218
B2;48;UN;9,7;20210226
B2;48;UN;10,68;20210711
B2;48;UN;10,68;20210722
B2;48;UN;10,68;20210831
B2;72;UN;9,7;20210213
B2;72;UN;9,7;20210308
B2;72;UN;9,7;20210328
B2;72;UN;10,68;20210611
B2;72;UN;10,68;20210829
B2;96;UN;10,68;20210614
B2;96;UN;10,68;20210805
B2;96;UN;10,68;20210911
B2;96;UN;10,68;20210916
B2;96;UN;10,68;20210925
B2;120;UN;10,68;20210618
B2;144;UN;9,7;20210328
B2;168;UN;9,7;20210306
B2;168;UN;9,7;20210319
B2;264;UN;10,68;20210514
B2;264;UN;10,68;20210626
B2;312;UN;10,68;20210716
B3;96;UN;19,38;20210217
B3;96;UN;19,38;20210226
B3;120;UN;19,38;20210218
B3;120;UN;19,38;20210308
B3;120;UN;21,33;20210611
B3;144;UN;19,38;20210313
B3;144;UN;21,33;20210911
B3;168;UN;19,38;20210213
B3;168;UN;19,38;20210319
B3;216;UN;19,38;20210328
B3;216;UN;21,33;20210722
B3;216;UN;21,33;20210503
B3;264;UN;19,38;20210306
B3;264;UN;21,33;20210812
B3;288;UN;19,38;20210227
B3;288;UN;21,33;20210522
B3;288;UN;21,33;20210529
B3;312;UN;21,33;20210529
B3;312;UN;21,33;20210727
B3;336;UN;21,33;20210507
B3;336;UN;21,33;20210916
B3;456;UN;21,33;20210709
B3;480;UN;19,38;20210328
B3;480;UN;19,38;20210328
B3;576;UN;21,33;20210630
B3;624;UN;21,33;20210514
B3;624;UN;21,33;20210805
B3;720;UN;21,33;20210614
B3;984;UN;21,33;20210630
A8;45;UN;8,48;20210930
A8;560;UN;8,48;20210916
A8;970;UN;8,48;20210921
B0;1;UN;32,02;20210830
B0;120;UN;32,02;20210830
B0;239;UN;32,02;20210829
B0;780;UN;32,02;20210914
B1;45;UN;8,96;20210516
B1;45;UN;8,96;20210913
B4;45;UN;4,96;20210522
B4;45;UN;4,96;20210923
B4;90;UN;4,96;20210516
B4;90;UN;4,96;20210829
B2;24;UN;11,42;20210728
B2;24;UN;11,42;20210813
B2;24;UN;11,42;20210827
B2;24;UN;11,42;20210923
B2;48;UN;11,42;20210913
B3;24;UN;20,72;20210308
B3;24;UN;20,72;20210311
B3;24;UN;20,72;20210328
B3;24;UN;20,72;20210214
B3;24;UN;20,72;20210216
B3;24;UN;22,81;20210717
B3;24;UN;22,81;20210923
B3;48;UN;22,81;20210702
A8;630;UN;8,48;20210814
B0;1500;UN;32,02;20210814
B2;216;UN;11,42;20210814
B3;264;UN;22,81;20210814
A8;1845;UN;8,6;20210626
A9;5;UN;134,11;20210313
A9;5;UN;147,63;20210522
A9;15;UN;147,63;20210910
B0;60;UN;29,5;20210228
B0;60;UN;29,5;20210309
B0;60;UN;32,47;20210830
B0;120;UN;32,47;20210609
B0;300;UN;29,5;20210328
B0;300;UN;32,47;20210805
B0;300;UN;32,47;20210910
B0;360;UN;32,47;20210723
B0;360;UN;32,47;20210727
B0;360;UN;32,47;20210619
B0;420;UN;32,47;20210916
B0;480;UN;29,5;20210302
B0;540;UN;32,47;20210626
B0;600;UN;32,47;20210812
B0;660;UN;29,5;20210308
B1;45;UN;9,09;20210723
B1;45;UN;9,09;20210626
B1;45;UN;9,09;20210805
B1;45;UN;9,09;20210910
B1;45;UN;9,09;20210916
B1;45;UN;9,09;20210923
B2;24;UN;10,51;20210308
B2;24;UN;11,58;20210529
B2;24;UN;11,58;20210529
B2;24;UN;11,58;20210711
B2;24;UN;11,58;20210502
B2;24;UN;11,58;20210910
B2;48;UN;10,51;20210328
B2;48;UN;11,58;20210727
B2;48;UN;11,58;20210609
B2;48;UN;11,58;20210925
B2;72;UN;10,51;20210309
B2;72;UN;10,51;20210327
B2;72;UN;10,51;20210328
B2;72;UN;11,58;20210723
B2;72;UN;11,58;20210619
B2;72;UN;11,58;20210805
B2;72;UN;11,58;20210916
B2;96;UN;11,58;20210721
B2;96;UN;11,58;20210614
B2;96;UN;11,58;20210626
B2;144;UN;10,51;20210319
B3;24;UN;21,01;20210226
B3;24;UN;21,01;20210308
B3;24;UN;21,01;20210313
B3;24;UN;23,13;20210709
B3;24;UN;23,13;20210723
B3;24;UN;23,13;20210727
B3;24;UN;23,13;20210422
B3;24;UN;23,13;20210502
B3;24;UN;23,13;20210609
B3;24;UN;23,13;20210614
B3;24;UN;23,13;20210819
B3;24;UN;23,13;20210831
B3;48;UN;23,13;20210522
B3;48;UN;23,13;20210529
B3;48;UN;23,13;20210529
B3;48;UN;23,13;20210805
B3;48;UN;23,13;20210910
B3;48;UN;23,13;20210916
B3;72;UN;23,13;20210422
B3;72;UN;23,13;20210925
B3;96;UN;23,13;20210630
B3;120;UN;21,01;20210328
B3;144;UN;21,01;20210226
B3;168;UN;23,13;20210630
A8;45;UN;8,6;20210529
A8;45;UN;8,6;20210609
A8;45;UN;8,6;20210805
A8;90;UN;7,81;20210328
A8;90;UN;8,6;20210709
A8;90;UN;8,6;20210725
A8;90;UN;8,6;20210828
A8;98;UN;8,6;20210921
A8;135;UN;8,6;20210614
A8;135;UN;8,6;20210619
A8;135;UN;8,6;20210828
A8;180;UN;8,6;20210924
A8;315;UN;8,6;20210925
A8;450;UN;8,6;20210626
A8;450;UN;8,6;20210716
A8;450;UN;8,6;20210727
A8;532;UN;8,6;20210910
A8;675;UN;8,6;20210830
A8;675;UN;8,6;20210921
A8;810;UN;8,6;20210812
B0;60;UN;29,5;20210302
B0;60;UN;32,47;20210522
B0;60;UN;32,47;20210614
B0;60;UN;32,47;20210830
B0;103;UN;32,47;20210830
B0;120;UN;29,5;20210307
B0;120;UN;29,5;20210228
B0;120;UN;29,5;20210302
B0;120;UN;32,47;20210727
B0;180;UN;32,47;20210529
B0;180;UN;32,47;20210812
B0;197;UN;32,47;20210828
B0;240;UN;32,47;20210619
B0;240;UN;32,47;20210709
B0;240;UN;32,47;20210725
B0;300;UN;32,47;20210916
B0;360;UN;32,47;20210805
B0;360;UN;32,47;20210819
B0;360;UN;32,47;20210831
B0;600;UN;32,47;20210910
B0;660;UN;29,5;20210302
B0;780;UN;29,5;20210302
B0;840;UN;32,47;20210609
B0;1320;UN;32,47;20210626
B0;1560;UN;29,5;20210309
B1;45;UN;8,26;20210307
B1;45;UN;8,26;20210309
B1;45;UN;8,26;20210319
B1;45;UN;8,26;20210328
B1;45;UN;9,09;20210831
B1;45;UN;9,09;20210831
B1;45;UN;9,09;20210831
B1;90;UN;8,26;20210216
B1;90;UN;9,09;20210522
B1;90;UN;9,09;20210609
B1;90;UN;9,09;20210626
B1;90;UN;9,09;20210725
B1;90;UN;9,09;20210805
B1;90;UN;9,09;20210910
B1;90;UN;9,09;20210925
B1;135;UN;9,09;20210831
B1;180;UN;9,09;20210709
B4;45;UN;4,56;20210307
B4;45;UN;4,56;20210309
B4;45;UN;4,56;20210313
B4;45;UN;4,56;20210328
B4;45;UN;4,56;20210212
B4;45;UN;4,56;20210226
B4;45;UN;5,02;20210925
B2;24;UN;10,51;20210327
B2;24;UN;10,51;20210218
B2;24;UN;11,58;20210422
B2;24;UN;11,58;20210427
B2;24;UN;11,58;20210529
B2;24;UN;11,58;20210916
B2;48;UN;10,51;20210226
B2;48;UN;11,58;20210828
B2;72;UN;10,51;20210319
B2;72;UN;10,51;20210326
B2;72;UN;11,58;20210721
B2;72;UN;11,58;20210731
B2;72;UN;11,58;20210828
B2;96;UN;11,58;20210727
B2;96;UN;11,58;20210923
B2;120;UN;10,51;20210309
B2;120;UN;11,58;20210522
B2;120;UN;11,58;20210812
B2;120;UN;11,58;20210819
B2;120;UN;11,58;20210925
B2;144;UN;11,58;20210619
B2;144;UN;11,58;20210626
B2;144;UN;11,58;20210725
B2;168;UN;11,58;20210711
B2;168;UN;11,58;20210805
B2;192;UN;10,51;20210307
B2;288;UN;11,58;20210609
B2;312;UN;10,51;20210328
B3;24;UN;21,01;20210327
B3;24;UN;21,01;20210226
B3;48;UN;21,01;20210319
B3;48;UN;21,01;20210319
B3;48;UN;21,01;20210212
B3;48;UN;21,01;20210226
B3;48;UN;23,13;20210508
B3;48;UN;23,13;20210516
B3;48;UN;23,13;20210529
B3;48;UN;23,13;20210506
B3;48;UN;23,13;20210831
B3;48;UN;23,13;20210910
B3;48;UN;23,13;20210916
B3;72;UN;21,01;20210218
B3;72;UN;23,13;20210522
B3;72;UN;23,13;20210614
B3;96;UN;23,13;20210725
B3;96;UN;23,13;20210831
B3;96;UN;23,13;20210831
B3;120;UN;21,01;20210216
B3;120;UN;23,13;20210923
B3;144;UN;21,01;20210309
B3;144;UN;23,13;20210805
B3;168;UN;21,01;20210307
B3;168;UN;21,01;20210326
B3;168;UN;23,13;20210925
B3;216;UN;23,13;20210630
B3;288;UN;23,13;20210727
B3;384;UN;21,01;20210328
B3;576;UN;23,13;20210630
A8;90;UN;8,6;20210924
A8;495;UN;8,6;20210730
A8;585;UN;8,6;20210928
B0;60;UN;29,5;20210313
B0;60;UN;29,5;20210318
B1;45;UN;8,26;20210313
B1;45;UN;9,09;20210908
B1;45;UN;9,09;20210730
B1;45;UN;9,09;20210922
B4;45;UN;5,02;20210527
B3;24;UN;23,13;20210427
B3;48;UN;23,13;20210702
B3;48;UN;23,13;20210730
A8;45;UN;7,81;20210217
A8;45;UN;7,81;20210310
A8;45;UN;8,6;20210522
A8;45;UN;8,6;20210716
A8;45;UN;8,6;20210422
A8;45;UN;8,6;20210609
A8;45;UN;8,6;20210614
A8;45;UN;8,6;20210819
A8;45;UN;8,6;20210830
A8;45;UN;8,6;20210922
A8;90;UN;7,81;20210227
A8;90;UN;8,6;20210710
A8;90;UN;8,6;20210723
A8;90;UN;8,6;20210727
A8;90;UN;8,6;20210621
A8;90;UN;8,6;20210702
A8;90;UN;8,6;20210805
A8;90;UN;8,6;20210812
A8;90;UN;8,6;20210926
A8;135;UN;7,81;20210328
A8;225;UN;8,6;20210830
A8;270;UN;8,6;20210910
B0;120;UN;29,5;20210228
B0;120;UN;29,5;20210308
B0;120;UN;32,47;20210529
B0;120;UN;32,47;20210812
B0;120;UN;32,47;20210830
B0;120;UN;32,47;20210916
B0;180;UN;32,47;20210529
B0;180;UN;32,47;20210506
B0;180;UN;32,47;20210621
B0;240;UN;32,47;20210910
B0;300;UN;29,5;20210228
B0;300;UN;32,47;20210723
B0;300;UN;32,47;20210805
B0;360;UN;29,5;20210228
B0;360;UN;32,47;20210609
B0;360;UN;32,47;20210830
B0;600;UN;32,47;20210702
B0;780;UN;29,5;20210310
B1;45;UN;8,26;20210217
B1;45;UN;8,26;20210218
B1;45;UN;8,26;20210308
B1;45;UN;9,09;20210621
B1;180;UN;9,09;20210702
B1;180;UN;9,09;20210910
B4;45;UN;4,56;20210227
B4;45;UN;4,56;20210310
B4;45;UN;4,56;20210313
B4;45;UN;4,56;20210319
B4;45;UN;4,56;20210328
B4;45;UN;5,02;20210621
B4;45;UN;5,02;20210702
B4;45;UN;5,02;20210926
B4;90;UN;4,56;20210218
B4;90;UN;5,02;20210830
B4;135;UN;4,56;20210319
B4;135;UN;4,56;20210328
B2;24;UN;10,51;20210226
B2;24;UN;10,51;20210310
B2;24;UN;11,58;20210702
B2;24;UN;11,58;20210916
B2;24;UN;11,58;20210923
B2;48;UN;10,51;20210308
B2;48;UN;10,51;20210319
B2;48;UN;11,58;20210716
B2;48;UN;11,58;20210723
B2;48;UN;11,58;20210819
B2;48;UN;11,58;20210830
B2;48;UN;11,58;20210830
B2;72;UN;10,51;20210227
B2;72;UN;10,51;20210313
B2;72;UN;10,51;20210328
B2;72;UN;11,58;20210926
B2;96;UN;11,58;20210522
B2;96;UN;11,58;20210529
B2;120;UN;10,51;20210218
B2;120;UN;11,58;20210529
B2;120;UN;11,58;20210812
B2;168;UN;11,58;20210609
B2;192;UN;10,51;20210328
B2;240;UN;11,58;20210621
B2;240;UN;11,58;20210910
B3;24;UN;21,01;20210214
B3;24;UN;21,01;20210226
B3;24;UN;21,01;20210310
B3;24;UN;21,01;20210319
B3;24;UN;23,13;20210710
B3;24;UN;23,13;20210916
B3;48;UN;21,01;20210227
B3;72;UN;21,01;20210328
B3;72;UN;23,13;20210716
B3;72;UN;23,13;20210702
B3;96;UN;21,01;20210217
B3;96;UN;21,01;20210319
B3;120;UN;23,13;20210805
B3;144;UN;21,01;20210308
B3;144;UN;23,13;20210609
B3;144;UN;23,13;20210702
B3;168;UN;21,01;20210328
B3;168;UN;23,13;20210812
B3;192;UN;23,13;20210727
A8;45;UN;7,7;20210309
A8;45;UN;7,7;20210313
A8;45;UN;7,7;20210319
A8;45;UN;7,7;20210320
A8;45;UN;7,7;20210326
A8;45;UN;7,7;20210329
A8;45;UN;7,7;20210329
A8;45;UN;7,7;20210220
A8;45;UN;8,48;20210507
A8;45;UN;8,48;20210610
A8;45;UN;8,48;20210908
A8;90;UN;8,48;20210516
A8;90;UN;8,48;20210712
A8;90;UN;8,48;20210914
A8;90;UN;8,48;20210927
A8;90;UN;8,48;20210927
A9;5;UN;145,58;20210914
A9;5;UN;145,58;20210927
B0;60;UN;29,09;20210309
B0;60;UN;29,09;20210303
B0;60;UN;29,09;20210303
B0;60;UN;29,09;20210303
B0;60;UN;32,02;20210425
B0;60;UN;32,02;20210927
B0;120;UN;29,09;20210301
B0;120;UN;32,02;20210425
B0;120;UN;32,02;20210516
B0;180;UN;32,02;20210830
B0;240;UN;29,09;20210326
B0;240;UN;32,02;20210813
B0;360;UN;29,09;20210313
B0;360;UN;32,02;20210502
B0;420;UN;29,09;20210303
B0;420;UN;32,02;20210703
B0;480;UN;32,02;20210914
B0;660;UN;32,02;20210806
B1;45;UN;8,96;20210711
B2;24;UN;10,37;20210309
B2;24;UN;10,37;20210329
B2;24;UN;10,37;20210227
B2;24;UN;11,42;20210531
B2;24;UN;11,42;20210813
B2;24;UN;11,42;20210830
B2;24;UN;11,42;20210908
B2;24;UN;11,42;20210927
B2;48;UN;10,37;20210313
